#simf_A001	simf_A002	simf_A003	simf_A004	simf_A005	simf_B001	simf_B002	simf_B003	simf_B004	simf_B005	simf_A001	simf_A003	simf_A004	simf_A005	simf_B001	simf_B002	simf_B003	simf_B004	simf_B005
id	c0r1	c0r2	c0r3	c0r4	c0r5	c0r6	c0r7	i	i	i	c1r1	c1r2	c1r3	c1r4	c1r5	c1r6	c1r7	i	i	i
0	9.478760	9.585033	10.316888	9.870406	9.987105	9.580183	10.441078	10.783266	10.145754	9.649291	13.968232	4.576267	17.133743	16.237511	16.626114	16.307093	21.089121	15.873517	12.683737	13.641627
1	10.697886	10.578769	9.476644	9.505485	9.244784	10.293690	10.278318	9.222489	10.446000	9.737895	11.163121	8.379010	24.081100	10.404257	21.059853	13.258859	8.054228	20.810610	13.207585	4.690876
2	12.387356	7.254549	8.369845	11.303821	11.760701	12.908681	8.076896	9.176485	11.127422	8.121819	8.301076	3.969332	12.446014	14.786062	10.990050	5.381233	13.079609	6.946392	18.849096	15.527778
3	8.088602	9.168152	10.410245	9.510122	10.376310	9.505927	10.689484	10.724933	9.708775	11.334407	16.207565	11.386439	3.917622	12.572488	19.072012	9.201328	10.913997	16.392418	15.629889	8.540125
4	8.953726	8.092854	6.835875	9.319098	8.883413	13.302388	10.906067	9.610338	6.378549	10.625291	7.235423	7.434546	9.053582	11.584339	19.378416	8.901155	16.509171	14.120633	10.147488	7.728628
5	12.351589	6.409460	11.342603	7.524080	6.410319	12.908236	6.027978	9.469104	12.113888	9.824574	10.235765	9.506283	18.314352	10.439496	10.337805	10.945024	16.031824	6.919581	11.577507	15.290440
6	10.381829	11.923712	7.604490	12.984791	9.977158	8.622281	5.508039	9.504708	8.552668	15.558223	8.208510	14.281176	9.553195	17.558992	14.392235	15.645813	9.007154	13.040113	12.067637	16.582903
7	8.919339	14.298460	11.180641	4.240581	7.664535	12.673205	13.525406	12.380700	8.671046	10.969621	13.938259	14.401811	10.439064	12.678093	12.139915	13.080267	15.462908	7.590050	14.306746	10.701455
8	9.684005	10.806557	11.703477	11.792962	2.965812	17.773376	6.500746	14.984837	16.003490	18.121143	10.603608	11.125981	10.618938	10.998766	15.104626	15.781148	13.662153	9.414878	11.209449	11.867373
9	12.129970	15.210554	10.743319	8.591106	5.062091	1.726085	8.444214	10.358078	8.762136	1.704231	9.956538	12.026423	11.657159	12.593820	11.563200	12.816028	11.768893	10.171556	10.459830	11.460843
10	10.256566	10.032544	10.093573	10.833725	9.541449	10.639670	10.382083	9.509995	10.846509	9.774837	10.399110	1.463044	6.701513	3.251884	7.283054	20.491590	6.293018	15.125913	24.355051	15.622155
11	9.397482	9.091443	9.553178	9.845506	10.459115	9.173120	10.202915	9.912021	10.507792	9.862376	19.942812	11.047047	6.555896	17.132847	20.008783	20.396713	7.863423	18.860182	13.306110	22.526423
