#	simf_A001	simf_A002	simf_A003	simf_A004	simf_B001	simf_B002	simf_B003	simf_B004
id	c0r1	c0r2	c0r3	c0r4	c1r1	c1r2	c1r3	c1r4
0	3.010388	4.173633	6.711133	1.901725	6.343758	9.054369	12.903582	7.315993
1	408.1	397.2	400.3	405.4	451.1	457.2	447.3	443.4
2	39.928654	82.332497	17.467598	19.422508	61.279087	65.431122	77.218819	43.339844
3	48.188660	57.925404	61.504951	84.828377	34.024815	54.376793	47.606789	41.839901
4	52.066971	28.281347	71.599091	44.728050	31.598330	37.787827	25.887953	61.590015
5	64.051315	38.844475	24.323381	50.734669	51.930237	33.015312	24.818277	57.450027
6	45.324295	49.848351	33.399380	80.202400	74.025063	36.218052	60.488960	50.863495
7	42.101597	66.701019	75.037247	43.468224	49.391499	40.270813	77.117249	51.204815
8	75.683128	39.612446	36.090446	55.490074	57.822170	42.781170	35.290226	55.293266
9	16.941492	76.124008	61.615692	28.072287	45.085289	59.280800	35.024593	62.334026
10	33.205791	34.607342	68.018112	60.192589	56.614880	18.547415	35.232136	64.110794
11	64.876801	62.514149	71.106293	43.545738	70.514305	75.511284	28.031141	48.479790
12	77.678596	50.311493	28.204128	54.363495	81.883720	73.393051	54.006794	20.556847
13	47.490162	84.784142	60.490013	59.546848	54.899029	39.049290	69.895264	25.493736
14	30.298914	62.031757	17.032837	46.221573	38.057846	78.264404	53.279198	47.085987
15	80.387970	44.244778	34.052124	66.030304	69.189919	69.638748	49.501713	24.896690
16	52.821621	57.731915	65.082848	55.109951	36.631203	32.975613	23.348211	72.282120
17	75.552521	30.824280	47.704685	37.615879	82.959579	44.488781	23.965794	41.277817
18	53.924194	52.587952	46.523113	75.068626	64.400253	83.592598	72.117500	25.548494
19	33.354790	65.302269	26.310846	39.863388	37.307610	35.891460	64.702057	32.598488
20	64.720871	72.188858	28.875380	48.536648	81.169701	32.608910	21.674454	59.716888
21	36.451660	57.246872	19.594015	63.320225	47.470371	56.621990	31.361029	45.271782
22	39.195915	41.345528	42.464870	41.687447	45.865723	37.173637	49.915123	68.637863
23	58.248714	65.459114	73.948326	24.469835	51.633038	57.816044	50.665974	62.102081
24	71.896362	70.572144	43.144302	52.569202	63.045551	66.914597	74.717407	57.879887
25	63.153103	51.615540	74.284927	67.656296	82.095329	26.060871	49.692200	40.195953
26	57.002087	61.183949	34.039089	56.995434	33.489628	46.902493	59.484077	61.162422
27	48.346161	40.702339	34.181652	61.643330	62.760643	50.131107	32.825092	39.700260
28	58.750538	53.329666	29.199928	36.778229	63.621971	46.106812	52.765282	80.224098
29	43.200050	35.311890	35.388950	20.061304	45.270355	54.154209	51.270313	68.644691
30	29.288250	69.837738	46.262535	47.833027	18.220572	42.263046	38.356945	81.164085
31	75.601616	71.494232	47.135506	27.311722	48.568069	51.347851	60.269379	31.688547
32	65.071747	24.004105	54.805397	47.146206	66.555878	58.453621	74.418037	34.349995
33	57.185776	55.705021	41.970085	37.236797	31.319565	59.056404	31.957249	82.643585
34	16.477358	67.429321	57.777901	54.211933	70.253334	39.390690	57.600277	27.423155
35	60.025188	33.487282	82.578331	54.248474	45.646175	19.058432	68.040871	25.140017
36	64.321693	45.385006	32.889687	19.267363	52.227318	47.870991	28.604820	22.789209
37	49.801041	58.234596	44.663967	44.779778	36.557117	67.567116	34.248760	27.337442
38	67.263962	66.758476	32.669067	56.278767	43.684715	76.183846	53.024284	56.347683
39	40.912735	66.338882	80.550407	57.472130	52.916477	31.898518	54.283360	43.313129
40	42.323032	55.830471	19.957478	78.686852	82.875328	76.149429	48.893406	45.759819
41	48.541859	43.034184	77.852448	46.083908	70.338898	38.735474	78.339203	29.886452
42	67.360352	42.150547	44.945396	56.710903	51.101871	53.663475	49.525993	61.431686
43	31.433613	51.685764	29.983562	52.362366	26.892174	76.283623	73.904694	44.094902
44	37.654552	73.417564	52.765423	48.519596	44.137501	53.607094	41.148193	43.254154
45	39.869202	38.840561	50.519531	52.816895	32.631359	83.604988	50.202587	33.359692
46	77.624077	24.343298	32.774693	29.110416	70.430618	70.435837	49.118431	67.358894
47	47.915958	26.014460	40.609604	62.906395	26.686068	31.447004	83.280762	46.867676
48	45.896957	51.283272	31.150629	28.656757	35.330372	36.489838	53.970947	75.408699
49	26.664518	27.018972	73.033691	36.389336	21.992085	55.403721	81.062439	67.080086
50	39.124073	50.621510	65.266510	67.573547	58.601627	54.872234	43.573463	40.432293
51	23.370539	22.608591	39.738659	61.088467	51.691010	53.620998	61.460701	66.757843
52	75.036964	19.645861	46.299534	29.326780	41.983963	28.120590	47.134140	53.829193
53	39.980183	62.216755	31.964720	44.766018	84.073715	61.872860	43.436180	41.868183
54	47.700516	32.088989	28.304432	35.165585	28.928486	36.960400	47.851643	49.016804
55	64.360771	46.265129	31.318808	43.386898	62.258499	35.638474	20.538578	52.362144
56	31.921354	25.419035	66.660309	31.432177	65.320961	41.236816	69.848183	63.957935
57	57.508171	44.241333	15.771882	66.049873	76.301643	43.605732	60.180401	26.032166
58	71.299248	64.609421	69.388176	73.298630	48.218594	65.510139	69.437515	64.875969
59	51.857765	26.886127	34.768082	56.130272	56.231186	79.516632	29.967600	54.415348
60	42.872520	75.989922	35.163414	34.176495	39.771709	61.737755	41.576786	49.228001
61	59.894344	28.937733	53.200710	32.548904	38.555531	72.517418	67.331696	41.096527
62	55.179550	37.232029	27.174408	43.181969	30.261749	72.298820	43.329128	25.869986
63	66.910446	66.926590	69.870697	43.855907	65.333687	76.874550	48.280174	76.645370
64	31.787565	37.381786	45.051765	52.574844	41.531399	43.468204	56.661209	34.107433
65	59.136131	25.535686	31.796150	61.371922	30.949183	50.316254	83.203636	51.873802
66	80.387329	50.422855	26.743017	76.934998	67.086899	78.306213	41.087936	52.454773
67	56.913437	49.063221	82.409203	21.097267	56.291306	33.693874	20.564745	43.517254
68	53.532516	51.478939	36.017193	73.039711	30.420607	47.093803	71.267715	74.568512
69	50.914757	52.052818	45.352417	66.894127	29.920639	63.824066	18.530449	38.829639
70	65.343971	72.098122	38.809582	66.606094	54.432564	76.011848	43.404572	58.854042
71	58.900944	54.318760	52.538174	40.738010	83.927223	72.371605	48.132347	38.987545
72	46.487537	67.694092	25.611378	41.773537	44.022793	56.721107	61.658066	36.950253
73	55.904343	65.615372	63.000340	50.120857	28.303284	70.105789	57.792191	30.071596
74	37.167976	62.137783	46.247948	48.696838	62.494404	50.787243	47.749035	61.251484
75	67.310005	66.082977	75.889168	57.327274	53.007271	47.073975	41.299774	56.538387
76	80.521118	32.210876	27.870083	56.763000	81.243431	65.931931	42.001698	35.171352
77	51.191769	84.934547	52.073166	66.103142	56.176918	54.566975	46.040173	61.238365
78	57.388721	30.905905	42.073460	74.533829	49.372211	25.504814	77.644806	49.005459
79	67.610954	24.231760	78.287613	47.491070	74.028778	51.686172	73.646599	38.262951
80	29.624214	48.797516	59.274975	48.905373	67.318542	56.643009	24.091766	35.362816
81	49.314087	26.403023	41.361000	42.714657	82.756073	65.479530	37.120018	57.424526
82	61.000439	40.191227	50.342449	38.156677	61.532021	77.425056	71.747910	53.357689
83	57.282150	51.443439	26.448706	52.828156	45.986176	50.801605	60.421909	16.582499
84	37.554028	52.612106	45.628368	72.942741	54.529404	74.156113	55.595936	62.105732
85	81.305267	48.658699	53.466412	32.748505	47.664112	38.279022	67.799866	45.837570
86	31.515888	52.516945	60.169273	62.044178	56.879787	75.344063	29.281681	39.971382
87	67.230309	42.519936	27.416796	51.689190	80.486404	51.490871	44.481541	72.010643
88	28.492083	41.840401	21.692274	74.613495	39.002838	62.053566	32.184383	59.137447
89	52.849838	73.250916	19.191904	41.088333	69.278656	75.480423	36.596424	44.185436
90	77.420349	40.391075	38.366184	65.786057	47.300465	40.331287	44.241165	49.646091
91	62.880814	53.878613	54.470905	60.950020	75.441368	59.579449	37.513790	39.425808
92	32.729931	54.633865	19.980947	55.976841	52.478966	62.750736	56.571644	27.887081
93	67.105125	55.311230	16.288994	49.347137	58.020252	54.894962	74.007317	57.039745
94	35.479919	49.072983	39.915485	71.282272	24.740948	44.546047	63.360104	18.239014
