#		simf_A001	simf_A002	simf_A003	simf_A004	simf_A005	simf_A006	simf_A007	simf_A008	simf_A009	simf_A010	simf_A011	simf_A012	simf_A013	simf_A014	simf_A015	simf_A016	simf_A017	simf_A018	simf_A019	simf_A020	simf_A021	simf_A022	simf_A023	simf_A024	simf_A025	simf_A026	simf_A027	simf_A028	simf_A029	simf_A030	simf_B001	simf_B002	simf_B003	simf_B004	simf_B005	simf_B006	simf_B007	simf_B008	simf_B009	simf_B010	simf_B011	simf_B012	simf_B013	simf_B014	simf_B015	simf_B016	simf_B017	simf_B018	simf_B019	simf_B020	simf_B021	simf_B022	simf_B023	simf_B024	simf_B025	simf_B026	simf_B027	simf_B028	simf_B029	simf_B030
id	c0r1	c0r2	c0r3	c0r4	c0r5	c0r6	c0r7	c0r8	c0r9	c0r10	c0r11	c0r12	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	c1r1	c1r2	c1r3	c1r4	c1r5	c1r6	c1r7	c1r8	c1r9	c1r10	c1r11	c1r12	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i
0	9.826511	9.874880	10.150088	10.033128	10.194242	9.828641	10.261292	9.747341	10.342482	9.738942	9.633639	9.702490	10.013638	9.722889	10.002184	10.120275	10.179255	9.839819	10.096927	10.064737	9.880276	9.835170	10.135028	10.210458	9.893926	9.872494	9.894792	9.681185	9.919348	10.338595	12.063755	12.060753	11.986289	12.024474	11.969942	11.931181	11.981414	12.052216	12.078930	11.982723	11.926892	12.054367	12.075766	11.976992	12.000051	12.057634	11.913768	11.984735	12.076616	11.970684	11.902076	11.944803	11.992959	11.979573	11.923902	12.023911	12.032793	12.022469	11.991815	11.929404
1	9.785789	10.474652	10.704426	10.035956	10.296785	9.904986	9.691177	9.285047	9.898232	9.326272	10.754717	9.784316	9.971145	9.504324	9.807431	9.318484	9.937353	9.849484	9.509900	9.790819	10.128867	10.085550	10.172809	10.475081	9.871177	10.585175	9.414114	10.473859	9.705235	10.398768	12.274682	11.730327	11.825190	11.958272	12.266515	12.426106	12.195252	11.987209	12.181326	12.108220	12.123619	11.950219	11.833486	11.825985	12.228485	12.278905	12.114360	12.104718	11.917942	11.788738	12.155391	12.042260	12.162386	11.945204	11.844287	11.637206	12.092972	12.234655	12.042944	11.693748
2	9.773456	10.493695	9.614696	10.062707	9.729238	10.327187	9.942560	10.846416	10.006359	10.538551	10.918537	10.446551	9.658622	9.986134	9.283907	9.618995	9.540522	9.877398	10.505835	10.506564	10.739832	10.831550	9.454447	9.499990	9.843359	10.617380	10.235012	9.130157	9.120188	10.724715	11.928351	11.328472	11.740274	11.543311	11.569254	12.775524	12.358913	11.637650	11.438036	12.350326	11.377859	11.940536	11.822507	11.670306	12.152537	12.192529	11.284459	11.521795	11.007681	11.447865	11.544681	11.923896	12.120662	11.467222	12.268774	11.424351	12.187449	11.585443	11.708730	12.852437
3	11.200435	11.297661	9.710804	10.280056	10.046873	9.595297	11.538684	10.009120	11.162959	9.579411	9.254627	9.476842	9.811723	10.092402	10.145741	10.295497	11.183695	11.434374	9.783831	9.776940	11.485106	9.200762	10.086625	9.001478	9.341419	9.709427	10.024224	9.313032	9.678174	10.308166	11.267093	11.150414	11.501015	11.448867	12.563410	11.475594	10.870689	11.621780	11.757235	13.177726	12.034521	11.140609	11.356900	12.398758	11.058888	12.744766	11.760738	13.431030	10.996876	13.244885	12.347203	12.298317	11.323415	12.847297	13.209637	12.224179	11.810529	12.405870	10.833535	11.253933
4	10.889266	10.110585	9.069344	9.415199	10.519537	9.149220	10.209571	9.466137	10.312116	9.496552	9.684337	9.718889	11.586103	8.152529	10.315948	10.046010	9.884088	9.167893	9.971537	8.796402	10.782953	8.746468	10.310258	8.607094	11.077875	11.209859	9.553572	11.516073	8.086886	8.290670	12.179880	12.671821	13.089287	12.548834	12.423685	12.956824	10.879028	13.156565	11.177073	11.804372	13.336365	12.249774	13.518498	12.220430	11.579978	11.672095	11.865005	11.869612	13.482019	13.029126	13.241788	12.674170	11.248704	10.858635	10.909089	12.829384	10.915812	12.110461	11.100252	12.604462
5	8.550106	9.770070	11.418216	11.079816	9.423332	11.438920	9.084835	10.914533	11.508106	9.757735	9.983545	9.941419	8.949444	8.463247	9.487586	9.416538	11.546716	9.015062	8.805635	9.326338	9.777484	9.520137	10.104304	10.373938	10.038807	10.265161	9.409729	10.678092	8.579988	10.840094	12.027502	13.696342	11.982885	11.853680	11.303168	13.075469	10.225191	12.426634	11.874832	12.834349	12.369215	12.622189	12.106159	13.171893	14.256594	13.527971	12.901097	13.540227	12.048752	11.427560	11.570220	12.166692	12.331484	12.433541	12.231809	13.349976	10.764209	13.351475	12.300679	11.099551
6	12.510285	9.149706	8.691935	9.894099	12.358568	9.178190	9.233003	8.453698	10.225658	10.677480	10.558240	9.600957	9.391674	10.242696	9.371109	11.337749	9.173808	8.982340	10.425505	10.220102	11.039491	9.461381	12.044156	9.992413	9.822798	10.894646	7.866104	9.733007	9.862900	8.680385	13.603702	9.321543	12.016755	12.895055	12.761255	9.910437	13.123318	13.020745	14.138280	10.459649	13.255098	11.001085	13.051047	11.507162	10.542104	12.880934	9.166029	14.038645	12.036151	10.058318	12.363583	10.976264	10.956656	10.588853	14.332567	13.271494	12.314369	10.185690	12.176898	10.603630
7	10.859878	11.526480	9.298178	9.715693	8.278873	11.146481	7.553608	9.883288	9.554584	10.261094	9.824834	10.496949	8.854915	6.934547	8.164777	7.880942	7.242513	9.458097	11.136744	9.742076	10.251723	10.034231	10.012254	9.722718	10.101538	8.592374	12.422612	8.032736	10.349835	11.995852	10.506196	12.316495	14.422276	11.510875	14.325703	9.375773	9.519372	11.179921	13.530774	11.472016	12.224676	11.897003	15.463588	11.874947	14.162595	11.087831	15.110369	10.160076	12.101523	12.702835	9.334923	10.036893	12.017424	12.850665	10.692435	12.321319	13.447737	12.066160	11.684942	8.951689
8	13.565337	12.321890	10.108025	7.525791	9.272315	8.153389	10.881706	12.447043	8.265497	9.873965	10.659669	13.199594	9.197839	12.384540	6.656892	12.233754	8.877379	10.771060	7.334768	11.016264	9.629022	12.136134	7.672451	11.448648	8.880421	9.569975	11.045796	10.334583	11.611658	13.293852	15.200257	14.452461	8.566348	13.987814	10.803683	15.448978	13.107179	13.129699	9.362676	9.813162	15.522511	12.821502	10.925933	12.867498	14.605576	14.442183	11.809379	11.467363	12.833939	9.734255	12.100754	13.943594	14.776208	10.370377	8.565356	12.668760	8.798684	11.189378	15.528690	10.730242
9	10.102321	9.557912	9.450999	11.174901	8.070482	13.280192	10.632832	6.100467	13.362624	9.513121	6.414851	9.765092	7.868845	8.446207	7.758060	7.774208	8.807783	6.557109	10.066799	6.235542	13.670029	13.338962	7.296350	10.278905	10.989091	7.554077	10.888259	8.798462	8.615281	10.496119	9.624365	9.582605	14.827480	10.074616	13.383902	12.990708	12.928726	9.008347	12.240325	13.624940	13.678205	15.489605	12.632784	10.433752	9.692204	11.633685	10.790862	13.122907	13.489765	9.423789	10.471785	9.006809	12.945210	11.874562	13.393598	13.796269	13.494683	13.670067	15.021805	11.593821
