id	c0r1	c0r2	c0r3	c0r4	c1r1	c1r2	c1r3	c1r4	i	i	i	i	i	i	i	i
0	0.907750	0.964438	1.075780	1.065872	2.410962	1.897421	2.421239	1.798668	2.660764	2.269883	1.993287	2.337534	0.952795	0.921733	0.931429	0.926476
1	0.913828	1.119518	0.943012	1.127942	2.502809	1.938658	1.449294	1.393307	1.753027	2.276084	1.748783	2.152170	0.893815	1.008128	0.824085	0.920168
2	0.815722	0.979482	0.948156	0.953245	1.362988	0.988805	1.356431	2.584169	2.478216	2.948020	2.616075	2.996747	1.267196	0.748019	0.887178	1.086409
3	1.109647	0.987601	1.015495	0.929658	1.188608	2.033400	2.217267	2.056104	3.589491	2.751377	1.771392	2.369039	1.118324	1.012690	1.175788	1.318377
4	0.598820	0.591558	1.402076	1.120981	2.282362	3.001975	1.800389	2.369590	1.540761	3.628426	2.290929	2.896656	1.020428	0.616845	1.117092	0.813828
5	1.349909	1.136211	0.846855	1.044699	2.070801	2.652527	2.209415	2.761132	3.970306	3.875551	2.624813	3.020952	0.987127	0.969086	0.993417	1.443195
6	1.310748	1.227643	1.113074	0.328461	1.126655	0.576049	2.195726	1.799945	1.763933	3.277225	3.311125	3.287959	0.777535	1.369097	0.717339	0.886718
7	1.299596	0.718021	1.227750	0.429650	0.913974	0.882051	1.811292	0.801892	2.274736	3.728635	1.598538	2.167711	0.638910	1.464809	1.406598	0.479972
8	1.451017	0.999197	0.594059	0.578002	0.130655	0.757745	1.746676	0.792550	4.248477	2.720512	2.190090	3.030925	1.112334	1.074217	0.753000	1.685102
9	0.879900	1.103423	1.372543	0.651572	2.071513	1.740795	1.531069	2.110149	2.577400	1.125339	2.401913	2.284937	0.770002	1.471410	0.355974	1.337155
10	1.046971	0.949703	0.965871	0.978347	3.302612	3.054623	2.847106	2.326061	4.308409	3.922598	3.257705	3.739910	6.378195	6.584558	6.698447	7.311109
11	1.136783	1.114919	1.069909	1.007546	2.532548	2.337246	2.911688	2.547806	3.858426	3.739367	3.310859	3.399995	6.429142	6.422708	6.963581	7.076476
12	1.075075	1.010618	0.780110	0.932300	2.318835	1.859783	2.416190	2.678779	3.859839	2.407799	3.491887	4.744950	6.898055	7.805554	6.349227	5.977698
13	0.810522	1.179467	1.099193	1.153752	2.392264	2.231974	1.351437	2.670262	3.803565	3.194316	4.499099	2.900913	6.779382	7.704568	7.349860	7.521761
