id	c0r1	c0r2	c0r3	c0r4	c1r1	c1r2	c1r3	c1r4
0	0.907750	0.964438	1.075780	1.065872	2.410962	1.897421	2.421239	1.798668
1	0.913828	1.119518	0.943012	1.127942	2.502809	1.938658	1.449294	1.393307
2	0.815722	0.979482	0.948156	0.953245	1.362988	0.988805	1.356431	2.584169
3	1.109647	0.987601	1.015495	0.929658	1.188608	2.033400	2.217267	2.056104
4	0.598820	0.591558	1.402076	1.120981	2.282362	3.001975	1.800389	2.369590
5	1.349909	1.136211	0.846855	1.044699	2.070801	2.652527	2.209415	2.761132
6	1.310748	1.227643	1.113074	0.328461	1.126655	0.576049	2.195726	1.799945
7	1.299596	0.718021	1.227750	0.429650	0.913974	0.882051	1.811292	0.801892
8	1.451017	0.999197	0.594059	0.578002	0.130655	0.757745	1.746676	0.792550
9	0.879900	1.103423	1.372543	0.651572	2.071513	1.740795	1.531069	2.110149
10	1.046971	0.949703	0.965871	0.978347	3.302612	3.054623	2.847106	2.326061
11	1.136783	1.114919	1.069909	1.007546	2.532548	2.337246	2.911688	2.547806
12	1.075075	1.010618	0.780110	0.932300	2.318835	1.859783	2.416190	2.678779
13	0.810522	1.179467	1.099193	1.153752	2.392264	2.231974	1.351437	2.670262
14	0.983924	1.396391	0.700454	1.068587	2.293246	1.657423	3.051162	3.763031
15	0.703438	0.614300	0.780573	0.837230	2.879735	1.705466	1.659079	2.296742
16	0.522519	0.691401	0.821899	0.621992	3.041075	3.835084	1.340165	4.097825
17	0.282136	1.052785	1.308106	1.496594	2.105414	4.772099	4.559896	2.565568
18	0.952487	1.464866	0.740138	1.306270	4.115023	1.965478	1.590039	3.940417
19	0.605003	1.115939	0.702580	1.610197	3.133801	1.667781	5.251273	3.337848
20	9.798921	9.824965	9.928343	9.964180	19.525652	19.672386	20.316908	20.815426
21	9.605424	9.577663	10.288649	10.367959	20.07884	16.543272	20.086939	19.619226
22	9.235678	9.869148	11.844148	10.00106	24.806311	19.110344	25.126846	14.166136
23	10.679458	9.037494	9.617849	11.990414	16.385548	22.902586	26.988855	17.043596
